"city","location","state","year","month","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN","MXTRM"
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,1,9.8,3,2,2,22,0,-1,8,3.9,0.49,46,1.13,9.1,21.9,27.4,16.4,47
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,2,8.7,5,5,0,18,0,6,9,12.6,0.65,42,1.64,22.5,26.7,32.3,21.1,36
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,3,9.2,3,1,0,0,0,20,3,1.8,0.61,77,1.56,1.8,41.7,50.4,33,57
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,4,11.2,7,0,0,0,0,30,0,0,0.82,83,3.01,0,54.6,65.5,43.6,53
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,5,9.2,8,0,0,0,2,38,0,0,1.49,91,4.9,0,61.7,71.1,52.2,53
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,6,8.3,11,0,0,0,1,54,0,0,1.02,90,6.17,0,71.2,80.1,62.2,36
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,7,8.1,8,0,0,0,12,55,0,0,3.64,94,8.85,0,77.6,87.1,68.2,39
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,8,7.6,5,0,0,0,6,59,0,0,0.48,94,1.8,0,76.7,85.7,67.7,35
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,9,9.2,6,0,0,0,0,46,0,0,1.55,89,2.78,0,65.1,74.2,56.1,43
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,10,9.2,4,0,0,0,0,31,0,0,0.26,86,0.93,0,56,66.8,45.2,55
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,11,9.8,4,0,0,1,0,18,0,0,1.37,69,2.52,0,41.5,50.8,32.2,51
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2010,12,9.8,6,4,0,23,0,2,7,5.1,0.67,53,2.35,16.2,22.5,29,16,51
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,1,9.6,3,2,1,27,0,-4,4,5.9,0.31,41,0.93,10.6,20.6,26.7,14.5,45
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,2,11,10,5,3,12,0,-9,21,13.6,0.95,56,3.52,29,26.2,32.7,19.6,65
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,3,9.8,6,0,0,1,0,21,1,0.7,1.11,67,2.62,1,36.3,43.8,28.8,46
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,4,11.9,13,0,0,0,0,28,1,0.6,0.95,83,4.91,0.6,47.7,56.1,39.3,55
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,5,10.5,10,0,0,0,1,35,0,0,2.24,90,7.27,0,57.9,67.8,48,55
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,6,8.9,7,0,0,0,4,50,0,0,0.93,96,3.39,0,69.5,79.4,59.5,46
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,7,7.4,7,0,0,0,12,59,0,0,6.86,99,11.15,0,79.1,88.6,69.5,40
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,8,6.7,7,0,0,0,3,57,0,0,1.11,93,4.54,0,73.5,82.5,64.4,36
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,9,8.7,6,0,0,0,2,42,0,0,1.21,93,3.45,0,62.2,69.9,54.4,51
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,10,8.1,6,0,0,0,0,33,0,0,0.85,84,1.98,0,54.9,65.2,44.6,51
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,11,11.9,5,0,0,0,0,24,0,0,1.53,70,3.44,0,44.9,52.4,37.4,46
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2011,12,9.2,3,1,0,4,0,12,1,1.2,1.43,57,2.65,1.7,35.2,41.8,28.6,45
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,1,10.1,5,2,0,10,0,5,5,5.4,0.54,57,1.87,12.2,30.2,38.5,21.9,52
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,2,9.8,6,2,0,2,0,10,3,3.5,0.54,59,1.65,5.6,32.9,40.2,25.6,49
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,3,11.6,6,0,0,1,0,21,0,0.3,1.25,87,2.68,0.3,53.5,63.3,43.6,66
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,4,11,5,0,0,0,0,32,0,0,0.67,77,1.65,0,50.7,59.8,41.6,45
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,5,9.6,6,0,0,0,5,43,0,0,1.34,97,4.38,0,65.6,76.5,54.6,54
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,6,9.6,3,0,0,0,12,49,0,0,0.42,100,0.91,0,73.9,85.5,62.4,51
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,7,8.3,7,0,0,0,18,63,0,0,0.85,103,3.66,0,81,91.5,70.6,40
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,8,6.9,5,0,0,0,10,53,0,0,0.57,95,2.07,0,73.3,83.9,62.6,42
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,9,8.9,6,0,0,0,1,37,0,0,0.64,90,1.76,0,64.1,74.5,53.7,53
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,10,11.4,8,0,0,0,0,32,0,0,0.81,78,3.15,0,51.5,60.5,42.4,46
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,11,8.5,4,0,0,1,0,17,0,0,0.29,70,0.96,0,40.5,49,32,53
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2012,12,10.3,4,0,0,3,0,14,0,0.3,1.26,70,2.21,0.9,36.1,42.5,29.7,56
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,1,11.6,6,1,1,14,0,-1,0,1.1,1.33,63,3.63,2.6,26.6,35.3,17.9,64
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,2,11.2,8,6,1,13,0,0,5,4.8,1.07,52,2.96,16.1,26.1,33.2,19.1,52
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,3,10.3,3,1,0,4,0,14,10,9.2,0.87,59,2,10.5,32.6,39.6,25.6,45
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,4,11.9,8,0,0,0,0,25,0,0.1,3.54,85,8.69,0.1,46.9,56.3,37.5,60
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,5,9.2,10,0,0,0,1,36,0,0,1.35,91,4.96,0,61,71.2,50.7,55
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,6,8.5,10,0,0,0,1,43,0,0,1.48,90,6.24,0,68.5,78.2,58.9,47
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,7,7.6,4,0,0,0,4,54,0,0,0.58,96,2.22,0,73.2,81.8,64.5,42
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,8,7.4,4,0,0,0,4,55,0,0,0.63,96,1.69,0,73,82.7,63.3,41
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,9,8.3,6,0,0,0,3,46,0,0,0.84,95,2.57,0,67.2,77.1,57.3,49
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,10,8.5,6,0,0,0,0,29,0,0,1.04,80,3.12,0,53.1,62.4,43.9,51
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,11,11.4,5,0,0,4,0,11,0,0.5,0.6,69,2.09,0.9,37.5,45.3,29.7,58
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2013,12,9.8,6,4,4,16,0,-6,5,4,0.31,56,1.95,14.3,23.5,31.2,15.7,62
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,1,13.2,8,9,11,21,0,-16,11,8.7,0.8,45,2.83,33.7,15.8,24.8,6.9,61
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,2,10.5,4,5,7,23,0,-8,14,5.7,1.16,49,2.48,19.6,17.5,25.8,9.1,57
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,3,11,6,4,1,8,0,-2,6,3.7,0.48,68,1.71,12.3,31.7,40.9,22.5,70
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,4,11.4,6,1,0,0,0,26,1,1.4,0.61,80,2.84,1.4,48.6,59.3,37.9,54
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,5,10.1,9,0,0,0,0,37,0,0,2.09,89,4.98,0,60.4,71,49.7,52
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,6,9.4,10,0,0,0,2,49,0,0,2.6,91,7.81,0,70.9,81,60.9,42
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,7,8.7,5,0,0,0,1,54,0,0,0.63,90,2.15,0,70.4,79.8,60.9,36
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,8,7.6,8,0,0,0,0,52,0,0,2.76,88,7.3,0,73.7,82.1,65.3,36
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,9,7.6,6,0,0,0,0,41,0,0,1.31,88,2.71,0,63.9,73.7,54.2,47
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,10,9.8,4,0,0,0,0,32,0,0.1,0.68,77,2.49,0.1,52,60.6,43.4,45
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,11,11.9,3,1,0,12,0,7,0,1.4,0.63,62,1.41,2.8,33.7,41.5,25.9,55
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2014,12,9.8,3,0,0,8,0,4,0,0,0.32,50,0.79,0,32.1,36.9,27.2,46
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,1,10.3,5,6,5,16,0,-8,6,3,0.57,43,1.41,13.9,22.4,29,15.7,51
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,2,10.7,3,5,8,24,0,-10,18,16.2,0.87,41,1.46,26.9,14.7,23.6,5.9,51
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,3,9.8,3,1,0,6,0,0,9,5.6,0.61,73,1.1,7.1,35.4,44.5,26.4,73
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,4,10.5,6,0,0,0,0,28,0,0,1.41,78,2.87,0,49.4,60,38.8,50
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,5,10.3,11,0,0,0,0,38,0,0,0.95,83,4.67,0,60.3,70,50.7,45
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,6,8.3,13,0,0,0,1,42,0,0,2.56,92,7.12,0,67.3,76.9,57.8,50
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,7,7.8,5,0,0,0,3,53,0,0,0.97,92,2.85,0,72.3,81.9,62.7,39
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,8,8.1,6,0,0,0,3,51,0,0,0.74,92,2.16,0,71.7,80.9,62.6,41
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,9,8.3,6,0,0,0,3,48,0,0,2.41,92,4.64,0,69,78.1,59.8,44
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,10,11,6,0,0,0,0,33,0,0,0.77,79,2.24,0,54.7,63.2,46.2,46
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,11,11.6,10,2,0,1,0,7,7,7,1.16,72,4.49,11.2,44.6,53.7,35.5,65
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2015,12,11.4,10,3,0,4,0,15,1,1.9,1.47,61,4.87,4.5,39,44.5,33.5,46
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,1,10.7,4,2,4,15,0,-4,3,3.1,0.27,48,0.85,6.3,24.8,31.8,17.8,52
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,2,11.6,3,2,0,9,0,2,2,2.3,0.79,62,1.23,5.5,30.5,37.3,23.7,60
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,3,10.7,9,1,0,2,0,11,1,1,1.09,70,3.35,2.6,43.3,51.5,35.1,59
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,4,10.7,7,0,0,0,0,22,0,0.7,0.61,83,2.8,1.1,47.8,57.4,38.2,61
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,5,9.6,11,0,0,0,0,35,0,0,0.95,87,5.43,0,59.7,70.1,49.4,52
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,6,8.7,6,0,0,0,6,51,0,0,1.31,93,2.85,0,71.6,81.9,61.2,42
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,7,7.8,9,0,0,0,6,54,0,0,1.11,93,6.24,0,75.5,84.4,66.5,39
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,8,7.2,8,0,0,0,3,56,0,0,0.96,92,4.26,0,75.8,84.3,67.3,36
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,9,9.2,5,0,0,0,1,50,0,0,0.55,91,1.77,0,69.5,77.7,61.4,41
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,10,9.2,6,0,0,0,0,36,0,0,1.6,82,3.78,0,56.9,65.8,47.9,46
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,11,9.2,4,0,0,0,0,22,0,0,0.99,75,1.69,0,46.8,55.3,38.4,53
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2016,12,11.4,7,5,3,14,0,-13,6,6.4,0.5,54,1.77,17.8,25.1,31.2,19.1,67
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,1,10.1,7,0,0,10,0,0,0,0.2,0.9,59,2.88,0.6,28.9,34.6,23.1,59
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,2,10.7,4,0,0,4,0,10,0,0,0.65,70,1.52,0,38.1,47.7,28.5,60
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,3,12.1,9,2,0,3,0,16,6,3.9,1.84,82,4.01,7.8,39.5,47.2,31.9,66
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,4,11.4,10,0,0,0,0,34,0,0,1.95,82,6.43,0,53.7,63.8,43.7,48
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,5,10.7,9,0,0,0,0,34,0,0,0.87,87,3.28,0,57.9,67.7,48,53
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,6,10.1,5,0,0,0,6,50,0,0,1.3,95,3.44,0,72.4,83.3,61.6,45
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,7,8.1,8,0,0,0,2,56,0,0,1.77,93,7.68,0,74.6,83.8,65.4,37
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,8,7.8,4,0,0,0,1,52,0,0,0.92,90,2.52,0,71.5,80.8,62.2,38
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,9,8.1,1,0,0,0,7,49,0,0,0.25,95,0.32,0,69.4,79.7,59.1,46
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,10,10.7,9,0,0,0,0,33,0,0,4.19,83,8.7,0,57.6,65.5,49.7,50
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,11,10.3,6,0,0,1,0,18,0,0.1,0.54,63,1.75,0.1,39.7,46.9,32.5,45
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2017,12,10.5,2,2,4,12,0,-4,2,1.8,0.18,65,0.6,5.3,27.3,34.3,20.3,69
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,1,11.9,3,1,4,16,0,-9,3,2.3,0.81,59,1.55,4.6,24.8,32,17.6,68
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,2,10.5,9,7,1,9,0,-3,12,6.2,2.1,66,4.64,20.3,28.9,38.1,19.8,69
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,3,10.5,5,1,0,0,0,19,1,2.2,0.81,58,1.74,2.6,37,44.7,29.2,39
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,4,10.5,5,1,0,0,0,20,1,2,0.96,80,2.73,3.2,41.3,50.1,32.5,60
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,5,8.7,10,0,0,0,3,44,0,0,1.96,97,8.21,0,66.1,76.4,55.9,53
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,6,9.2,10,0,0,0,5,48,0,0,1.41,96,7.63,0,71.5,80.4,62.6,48
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,7,8.1,5,0,0,0,8,59,0,0,0.26,95,1.14,0,76.2,85.1,67.3,36
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,8,7.8,9,0,0,0,5,58,0,0,2.36,97,6.61,0,76.3,84.8,67.7,39
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,9,8.5,7,0,0,0,5,42,0,0,1.79,93,3.65,0,69,77.5,60.4,51
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,10,8.9,10,0,0,0,0,28,0,0,1.56,88,4.79,0,52.7,60.7,44.7,60
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,11,9.6,7,5,0,3,0,17,7,5.1,1.2,52,3.24,12.7,34.6,39.8,29.6,35
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2018,12,8.5,7,0,0,4,0,16,3,0.9,1.13,53,3.32,1.4,33.3,39.7,26.9,37
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,1,10.3,7,6,6,19,0,-23,10,5,0.53,53,1.97,18.3,21.1,27.6,14.7,76
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,2,10.7,6,3,0,14,0,1,9,3.1,0.75,53,2.81,9.1,26,34.1,17.9,52
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,3,10.7,5,0,1,5,0,-3,0,0.2,0.56,65,2.09,0.3,34.4,42.7,26,68
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,4,11.6,10,2,0,0,0,26,3,5.4,1.58,80,6.02,7.9,49.7,59.1,40.4,54
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,5,9.6,14,0,0,0,0,38,0,0,1.92,82,8.26,0,58,67.5,48.5,44
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,6,8.9,10,0,0,0,2,49,0,0,0.75,91,3.06,0,67.7,77.3,58.2,42
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,7,8.9,6,0,0,0,10,59,0,0,1.36,95,3.94,0,77.1,86.1,68.2,36
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,8,7.4,7,0,0,0,1,57,0,0,1.4,90,3.63,0,72.9,81.5,64.3,33
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,9,8.7,11,0,0,0,1,53,0,0,2.28,90,7.61,0,69.4,76.9,61.9,37
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,10,9.6,9,2,0,0,0,25,1,3.4,2.18,86,6.76,4.6,50.9,58.7,43.1,61
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,11,9.2,5,1,0,5,0,7,3,3.4,0.51,55,1.88,3.7,34.8,41.6,28,48
"Chicago","CHICAGO OHARE INTERNATIONAL AIRPORT","IL",2019,12,9.6,3,0,0,7,0,10,2,0.8,0.93,61,1.55,2,34.1,41.3,26.8,51
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,1,9.8,6,0,0,3,0,13,1,0.6,2.75,66,5.39,0.6,38.5,47.3,29.7,53
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,2,10.5,7,1,0,0,0,23,3,3.6,1.93,66,4.17,3.6,39.6,48.5,30.8,43
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,3,9.2,8,1,0,0,0,29,0,1.1,2.06,78,4.24,1.1,50.7,60.3,41,49
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,4,7.2,3,0,0,0,0,43,0,0,1.81,86,2.56,0,65.2,76.4,54,43
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,5,7.6,5,0,0,0,2,50,0,0,2.81,90,6.88,0,73.4,82.5,64.2,40
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,6,6.3,7,0,0,0,19,65,0,0,1.1,95,5.21,0,81.4,90.5,72.3,30
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,7,6,7,0,0,0,22,65,0,0,1.24,97,4.37,0,82.3,91.3,73.3,32
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,8,6,6,0,0,0,23,69,0,0,1.06,96,3.32,0,82.8,91.4,74.2,27
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,9,6,3,0,0,0,19,54,0,0,1.13,96,1.59,0,78,88.9,67,42
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,10,7.2,3,0,0,0,0,42,0,0,2.35,86,3.33,0,65.2,77.4,53.1,44
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,11,7.8,8,0,0,0,0,30,0,0,2.26,76,5.48,0,54.6,64.6,44.6,46
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2010,12,10.1,4,1,0,2,0,14,0,1.3,0.64,67,1.62,1.5,38.3,47.6,29,53
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,1,8.9,6,1,0,2,0,19,3,3.7,0.93,71,2.63,4.4,40.2,48.5,31.8,52
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,2,8.9,6,1,0,0,0,26,1,1.2,1.38,76,4.25,1.2,50,60.5,39.5,50
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,3,9.2,9,0,0,0,0,35,0,0,1.95,82,9.06,0,55.8,65.2,46.3,47
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,4,8.9,7,0,0,0,0,39,0,0,0.79,86,3.06,0,65.3,76.4,54.2,47
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,5,7.2,3,0,0,0,6,44,0,0,1.31,92,2.93,0,70.9,81.5,60.2,48
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,6,6.9,6,0,0,0,24,64,0,0,0.65,96,2.2,0,81.2,91.9,70.6,32
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,7,6.5,6,0,0,0,27,65,0,0,1.01,97,2.67,0,82.4,91.9,72.9,32
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,8,7.2,4,0,0,0,29,67,0,0,0.62,99,1.51,0,83,93.5,72.6,32
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,9,7.4,4,0,0,0,4,56,0,0,0.81,96,2.3,0,73.2,82.8,63.6,40
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,10,8.5,6,0,0,0,0,39,0,0,0.4,85,1.7,0,62.1,72.8,51.4,46
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,11,8.5,6,0,0,0,0,32,0,0,0.68,78,2.5,0,55.7,66.1,45.3,46
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2011,12,7.6,7,0,0,0,0,29,0,0,1.22,72,4.44,0,50.4,60.2,40.7,43
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,1,8.5,8,0,0,0,0,22,0,0,1.97,71,5.14,0,49.1,59.3,38.8,49
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,2,8.3,6,0,0,0,0,19,0,0,0.67,76,2.23,0,51.3,60.7,41.9,57
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,3,8.1,5,0,0,0,0,34,0,0,1.95,84,3.52,0,64.5,74.2,54.7,50
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,4,8.1,2,0,0,0,0,40,0,0,1.69,88,2.23,0,65.8,76.2,55.3,48
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,5,6.9,6,0,0,0,4,53,0,0,1.28,93,3.41,0,73.9,83.4,64.4,40
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,6,6.9,4,0,0,0,9,55,0,0,0.96,106,2.28,0,77.4,87.1,67.8,51
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,7,6.7,8,0,0,0,28,70,0,0,1.62,105,3.53,0,83.8,94.1,73.5,35
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,8,5.8,7,0,0,0,9,63,0,0,0.98,99,3.89,0,79,87.6,70.3,36
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,9,5.8,6,0,0,0,2,50,0,0,0.67,92,1.37,0,74.2,83.7,64.8,42
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,10,7.8,3,0,0,0,0,40,0,0,1.61,83,1.83,0,63.4,73.1,53.7,43
"Atlanta","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT","GA",2012,11,6.9,2,0,0,0,0,30,0,0,1.25,81,1.67,0,52.8,63.5,42.1,51
